Day,series-1,series-2,series-3,series-4,series-5,series-6,series-7,series-8,series-9,series-10,series-11,series-12,series-13,series-14,series-15,series-16,series-17,series-18,series-19,series-20,series-21,series-22,series-23,series-24,series-25,series-26,series-27,series-28,series-29,series-30,series-31,series-32,series-33,series-34,series-35,series-36,series-37,series-38,series-39,series-40,series-41,series-42,series-43,series-44,series-45,series-46,series-47,series-48,series-49,series-50,series-51,series-52,series-53,series-54,series-55,series-56,series-57,series-58,series-59,series-60,series-61,series-62,series-63,series-64,series-65,series-66,series-67,series-68,series-69,series-70,series-71,series-72,series-73,series-74,series-75,series-76,series-77,series-78,series-79,series-80,series-81,series-82,series-83,series-84,series-85,series-86,series-87,series-88,series-89,series-90
2016-02-02,1886255,2784939,1698282,2128891,2540979,1933159,1567413,2062852,1524921,1653446,799310,946202,741138,1129329,845762,710087,3697440,680050,811766,875622,630684,397461,451066,376315,2013827,644146,384063,437560,495586,400305,612660,3844088,446517,565513,1027284,599263,464439,509637,568193,452154,95738,44089,69050,66005,205645,111883,64410,49563,56000,37872,636514,1771451,757730,602136,604543,696055,905805,721926,660743,2087854,814895,691946,766143,603936,683181,759384,1046214,741580,695632,857392,244149,253583,260653,248834,347751,218985,238027,238064,276066,223881,18585,23456,9371,11111,19880,14246,16569,37506,8255,12997
2016-02-03,1697035,1596871,1555818,1714077,1835689,1572817,1461692,2119645,1493704,1528937,913729,1001510,809602,1187299,884153,752568,3759967,699635,825829,909644,615063,415904,401578,362168,1993224,767348,365915,592261,419717,532626,504260,3960372,425024,583887,1002980,521372,449732,490048,514588,460889,91502,44365,74726,58594,221857,116092,61439,49643,76678,36299,842638,1447099,897721,750853,792936,808837,955409,926634,779648,2134159,807419,675136,711517,660339,739573,739278,1457549,752784,739738,1201066,234752,245300,270569,244566,340346,219466,266455,230807,255564,229438,16987,22437,9139,10491,19952,14552,17676,35284,7900,11869
2016-02-04,1955038,3589834,1532643,1421863,1968729,1597908,1319136,1964765,1793637,1436776,909185,1007192,778014,1128236,839034,734220,3728364,719989,813575,956413,557763,387998,482995,363255,1972397,665060,378383,362735,377948,335357,599650,3761886,434814,500070,1002461,473518,461944,459399,434597,501353,99370,45223,66143,65248,217688,113579,49568,47322,59148,41057,518486,544003,601200,505509,479162,527052,576907,552151,538479,2017834,747780,743450,751346,672830,696328,711447,1165739,642646,669713,923614,224951,229955,286020,252675,319908,192068,273996,218778,253009,183769,16026,20780,8955,10366,18008,14279,17767,31071,7201,11131
2016-02-05,1778408,2732122,2521780,1346248,2968489,1508918,1486990,1841396,1656771,1425338,700691,798105,620466,920742,667582,596825,3491888,636269,660967,827413,646676,358239,374390,321726,1933968,612512,360429,317923,442430,383079,432343,3563395,440624,446598,916586,478432,479647,435950,429886,472770,83476,42088,80944,61671,272980,165289,54440,98055,77840,36201,509793,527503,597033,517233,457809,540564,537107,579587,513000,1799643,847755,783682,668254,731761,770107,742601,1082968,627168,768844,1657167,213291,222351,289377,299718,330250,194662,243072,256407,265275,214766,14417,20436,7060,8601,15974,13224,13187,20302,6814,11810
2016-02-06,1629258,1850843,1481183,1376260,1610257,1512073,1347387,1837795,1512553,1477532,567594,660564,689243,721678,570900,476186,3323978,485749,570788,698437,558790,411855,416425,341086,1949362,551296,362615,316535,395698,379673,425251,3371799,659074,428428,807086,451408,455920,426843,474629,442984,81767,40324,79754,46807,215192,179597,37387,47474,99187,32995,528287,629214,646871,573340,478936,597118,600014,550958,530276,1925164,832988,861499,867280,721543,818415,755943,1031108,719398,758651,929385,193958,281607,289519,359403,286214,187717,226877,260688,240063,256580,10966,16248,6099,6299,12798,10622,11486,14597,5044,8937
2016-02-07,2010640,1837241,1707137,1457679,2032460,1708321,1519000,1962557,1658791,2275117,690542,779494,639664,845170,636612,573943,3427159,561082,654977,706841,675488,450017,506104,371316,2006205,703790,404068,394930,506681,427117,534003,3573140,650171,577009,1037041,514248,780794,583077,539194,596402,84020,40490,79007,57909,198068,183145,42166,47593,71073,40871,581126,561956,697682,681610,535823,591882,605695,588985,538736,1981544,935068,840062,752266,742002,844695,927613,1163736,753771,924412,850779,170722,205442,284346,295018,253490,193895,216244,206776,252938,148080,10385,32018,5421,6186,12271,10520,10747,48379,4947,8522
2016-02-08,2507573,2103829,2586848,1770807,2858050,1532381,1671135,2084748,1441145,2558869,887928,940799,1119974,1118664,770564,922537,3645856,685003,790314,774111,641486,464157,733452,376097,2057065,613115,422168,348850,496116,419660,541011,3853202,621298,577267,1038400,926443,834192,553435,567036,646720,117931,44382,76784,73141,319161,194568,39441,50676,81344,35817,535203,621187,611235,903368,479420,566185,575438,589757,521685,1849718,902532,619207,639312,638913,695095,817100,1266090,633570,713738,865862,197420,224921,262957,288476,334327,198345,245088,207476,264419,296322,13901,26379,7045,8467,14530,14423,28400,16053,6162,11547
2016-02-09,1724257,1611801,1705844,1541473,2065743,1480594,1342224,1730642,1333042,1483491,888554,1035627,861499,1202848,818306,776939,3770788,729327,854391,817280,653473,388374,496961,382126,2019716,576524,385638,356481,399302,395590,456602,3757751,521211,437088,1047690,692600,471457,472841,480657,582410,102836,60134,70175,67706,315565,136846,37871,49974,57767,45398,517628,525738,598372,929088,467014,514465,545179,539780,520312,1823991,1230165,686820,671205,692912,610233,712127,951730,944293,886322,816243,224824,228666,267130,299442,315228,381929,248651,213408,269644,237994,16522,23048,7506,7895,15278,13807,21291,16268,6236,10631
2016-02-10,1867648,3137032,1957546,1704471,2101336,1919304,1256995,1796453,1354793,1645998,887256,1011482,792074,1246117,812163,800603,7827787,737289,924764,879712,641781,376661,503149,357585,2018084,574275,435662,345524,467298,429967,480742,3689626,483502,484230,1005206,585751,558232,453154,435169,520428,127329,46270,74235,79768,224555,116534,38391,47448,68974,42498,596825,507568,597235,910661,489739,548966,566029,577598,509692,1835888,1073268,657831,731827,703760,605802,773773,937693,1019394,824091,748562,225762,247175,284064,326367,339043,233108,255049,233588,290923,214301,16107,22398,7755,8923,16939,14744,17437,16341,9032,12055
2016-02-11,1750056,1498441,1496578,1613553,1924188,1558281,1283986,1691381,1303014,1390013,860483,979230,763404,1224629,789874,737706,5032970,678752,865239,821520,959072,335900,439355,347761,1944623,567836,379419,347450,426287,414679,402579,3897855,500308,458175,950802,518268,453628,455221,493026,449932,99284,44970,54286,74048,176825,122313,40423,48161,83235,38125,557005,551247,626365,1056550,486365,530678,580055,746437,488357,1863803,1065567,794119,823313,738279,848887,816624,1070021,1156281,929867,790662,250259,250025,339917,341647,350306,236870,271518,253625,313015,213752,28285,295265,19988,14880,85408,20523,29619,26183,20952,20442
2016-02-12,1733392,1511912,1330007,1625263,4199861,1536108,1216976,1584942,1275968,1236699,681670,855300,611298,1009780,659584,651324,3448716,605904,718276,736550,703298,394119,432311,378643,1956920,552334,393434,469248,433602,392894,395059,3732966,516726,426936,905747,473580,413593,433070,516429,406100,98518,47954,59386,71070,277512,107965,39043,49209,63468,41953,563024,511758,628462,880513,477918,522007,533706,694533,505363,1786275,875205,919784,671325,657040,786399,1150511,1181727,1631780,1047894,756315,269088,256840,340935,347918,358925,261930,291101,303245,383300,234641,22310,28036,9711,10019,45701,16481,16692,18946,12984,15436
2016-02-13,2455110,1561115,1360386,1710308,2852747,1561033,1236330,1587990,1483586,1402142,554716,689493,536154,849659,571004,604821,3303384,551063,709726,604271,644927,407245,467802,354049,1964507,538748,397299,414931,442496,377257,451234,3455383,473391,509661,781249,542316,498497,633207,458420,460466,101316,42350,77709,59926,182919,97281,44008,47327,65259,38630,581177,496489,703156,784937,475641,590697,567100,628026,507597,1808816,851741,830614,827949,817411,847639,980128,1058977,1555171,962946,729194,275624,276095,372895,346998,367523,245635,308269,333546,412027,257592,12675,18152,6708,7098,12726,11459,11416,13122,6870,8970
2016-02-14,3255565,2091278,1646122,2089254,3607142,1981776,1369180,1688407,1608741,1697586,645634,825270,632660,1304113,632759,623605,3429867,590925,735232,727304,671395,415781,476130,436513,1989107,572371,445350,413161,514951,407236,503343,3743641,529053,554924,942815,714669,657967,554267,528564,535943,100650,42010,56907,67241,173914,97997,34966,46499,64017,35128,635333,529395,742290,1080265,546614,590069,636582,663785,543798,2074245,915189,826657,881791,865583,977851,1062765,1035338,1015986,971024,902347,312274,290907,364953,343833,370389,273204,330556,359324,407660,251496,11019,19812,5610,6290,12488,11643,11442,12381,5262,8724
2016-02-15,2530360,2180614,1730560,1964277,1782532,2001463,1886883,1792879,1741286,1653041,807208,1016225,762146,1223464,739748,718719,3680437,752303,848103,805895,653474,378978,514717,378141,2046743,607658,388625,350023,390795,425845,451829,3822358,475964,483785,1055489,633244,461159,611291,493560,468533,105273,50897,61557,76893,178292,109413,39415,49352,66514,37197,552651,651624,759270,724749,519261,558833,604022,622789,565055,1896411,729730,662050,697885,665694,825516,822374,960070,820287,759948,749763,247417,253941,312490,291039,349606,212094,278360,294355,311598,227997,15011,20955,6734,8290,15402,13837,14552,16650,6801,9598
2016-02-16,2240559,1768410,1751248,1840644,3562876,1762912,1649868,1935018,1540409,1885763,882055,1111641,836158,1269823,824386,808217,3894105,733621,941477,897903,608396,401854,435381,402293,1981832,545680,373312,345062,376325,376434,465916,3827151,428550,409984,1046197,526578,485223,576125,562778,475051,107323,47119,67983,64462,177665,112198,38252,49864,65658,35385,532375,658934,717280,543054,496242,504623,545153,558112,579927,1853835,740216,727449,604929,627074,740383,740940,960479,697545,695995,680484,222323,242971,287186,270834,343947,215775,259622,274422,289107,301411,21156,20204,7401,8827,16296,14452,15269,15667,8232,10732
2016-02-17,2155386,1668794,1554113,2159358,1974227,1661978,1367539,1795955,1953176,1465837,897506,1102997,872758,1708944,824766,808281,3898736,721388,914429,924488,646062,390838,410133,386837,1965416,597892,685668,391204,413862,376729,422235,3666208,561317,401547,1047583,519445,416992,493377,479972,493690,103877,52937,70022,52305,188977,112353,41551,51438,65575,35972,502742,614690,750942,526195,496889,493120,515520,557960,541488,1818523,766125,706281,634275,689006,711927,791321,1018715,647700,713283,653389,222221,266345,279148,258242,337310,228105,254618,333642,386148,244591,15368,22705,7169,8980,15060,14200,15192,15740,6541,9670
2016-02-18,2067367,1450474,1339799,1283111,2770225,1549329,1234623,1712034,1379267,1348693,856115,1102268,818903,1297912,809728,782022,3794988,703100,888150,854343,573687,363093,1020341,385071,1957952,640157,500459,331879,386022,437013,383368,3595475,394029,407628,978777,479596,436375,448066,447609,414969,94441,47704,61713,57139,178553,111951,55260,49163,63910,35986,499029,552381,646652,533043,465876,483517,532224,588685,491842,1805306,724212,775174,684371,768959,713456,839175,1150775,714742,896853,667387,230357,239535,269971,248907,320492,187865,252029,263672,303307,245564,14137,27064,7304,9559,15815,14416,15188,15330,6959,17546
2016-02-19,1932209,1646742,1385988,1864358,2843997,1625006,1299713,1764070,1343099,1277788,693109,862594,657940,1004358,654291,677891,3546556,601809,704167,729443,520799,353094,361215,353834,1926996,536566,351177,330126,361147,369107,435514,3520386,385614,396688,889646,464245,361563,408903,399548,417490,95656,45558,66267,57345,185571,107490,37634,52077,77235,34736,495168,556889,704723,496094,451579,461383,499998,528004,504177,1855195,808285,1289410,687730,592139,697684,788290,1013361,640262,784082,672102,250634,274315,299091,241513,324326,192197,255723,289675,274277,220994,13592,24543,7098,8819,16564,13720,15492,14847,7216,15869
2016-02-20,2013295,1633065,1485585,1802469,2656319,1684932,1265082,1668425,1370975,1333473,565462,791562,620738,783371,556169,521631,3375359,497973,568995,601639,586988,363287,424533,381837,1984308,565830,401698,347742,445365,385766,433647,3435781,378040,484928,879185,573855,474575,435149,442997,630887,111387,43047,60530,49402,159895,96819,35515,46704,60792,33359,493374,527255,652717,499490,467038,480853,492664,527467,587753,1756967,838163,993171,788698,854147,858906,860097,1075320,695787,988166,785590,237108,237757,334723,438930,310160,209472,282271,341976,294371,286409,10215,21552,5759,7174,13502,11375,13729,12763,5560,19640
2016-02-21,2151057,1668102,1709338,1495255,2517649,1881331,1407769,1839373,1684977,1538074,709187,857184,790031,933165,643754,658163,3546329,596162,675901,713221,623664,397500,439358,414507,2072493,561017,469571,373473,441898,499342,498296,3609432,497347,489816,956690,615873,518490,489723,674174,603766,205669,67664,57611,50092,159564,99737,35528,47713,62070,33278,553483,538293,683741,533104,501696,542403,497077,576845,544500,1725551,746990,946069,778304,758323,878938,1077714,1032909,850673,919879,877997,281378,281956,330308,303169,348160,231448,325257,321953,328378,245845,11434,20181,7947,8007,15104,14456,14194,13783,6430,24599
2016-02-22,2038688,1625895,1854382,1501546,4885819,1782951,1524350,1777185,1726459,1510766,983956,985262,802126,1212567,760750,724410,3740402,719660,792484,823010,639981,405178,427177,476874,2078447,597517,432138,353944,390039,423001,448422,3921854,489306,418923,1030385,495369,468059,457286,538650,522373,96180,43346,55616,54687,186152,111395,37901,50470,64183,36166,563256,754632,644379,516597,470493,527634,495454,552721,541201,1725198,662445,695772,592833,614871,759819,923750,1028680,671119,712782,661214,254637,295886,272791,257669,340703,213205,341380,276382,289220,267880,14241,22376,7417,9350,15865,16573,14998,16011,7406,20744
2016-02-23,1847571,1486062,1561222,1301013,4932451,1604803,1339035,1687394,1430058,1323011,916132,1040329,831665,1357719,821517,791117,3779143,747327,875464,842589,615980,367075,386231,410617,2022856,597108,396315,365502,391138,387738,426959,3606436,419433,397270,995118,455809,388831,461205,429383,491179,97814,46151,56997,61264,186325,113732,39438,56475,64363,34762,670854,660793,788338,545845,492231,553803,577901,572817,591745,1755183,714304,874178,560998,553433,685472,719149,976121,587319,661817,729945,251152,225258,261480,248209,359242,194693,261540,269264,266143,227385,15120,22188,8099,16114,17755,19808,20879,16114,7436,19525
2016-02-24,1985929,1482524,1491810,1284588,4676478,1756916,1242016,1889565,1385638,1397756,855102,1007998,884083,1460529,812605,774203,3787783,733397,826921,832050,662110,372469,412564,391847,2023575,595288,397963,358712,421293,428430,403650,3718202,528614,427383,1552311,644354,538865,539908,461706,497901,102449,45419,64470,72563,196841,120080,38989,53598,72810,38575,569544,533513,628550,524248,479585,488012,526787,512170,505368,1806464,672061,644788,565934,683458,626039,742072,901659,573704,599268,649033,233752,220268,263608,248893,348332,187425,282313,288074,264068,219607,16099,22558,8593,28987,19099,18863,17492,16305,9237,20795
2016-02-25,1802799,1402069,1359858,1224743,6080508,1604946,1167441,1687908,1353069,1336669,784517,925209,797008,1273870,747104,698510,3708130,680387,805662,823522,694413,442167,409800,423549,1974903,574532,383990,362448,352672,388983,422777,3742174,473261,389918,1132928,474042,413383,453284,452944,473293,104893,54191,67085,70597,209724,121901,46865,62892,77808,39249,547048,558050,581942,540102,462762,467143,503904,502638,539407,1781527,573328,663485,565148,640895,636850,666787,897940,531388,599653,569783,241741,216565,265261,247809,360265,187702,277165,363565,262764,291056,15556,20706,7733,43914,18431,16944,16982,15155,8705,17960
2016-02-26,1729387,1336150,1347519,1167300,2857481,1562020,1191073,1732909,1296191,1235597,663218,753061,623600,955696,620576,562909,3541599,571050,631083,679056,627989,500298,430800,459905,1910532,546750,380169,401116,341633,386647,503307,3679176,414775,388515,924176,492837,448045,435609,409391,429083,121369,55736,66219,70302,207095,115054,43618,63593,81429,36682,604243,506480,558882,522847,482811,473314,491442,485482,485913,1785272,760903,653626,931089,758411,667524,682217,909337,590227,698934,636935,244214,217129,299157,259021,345860,200708,277872,394830,259702,222417,15863,21380,7579,26870,17395,14800,15907,16414,8095,11970
2016-02-27,1650815,1335088,1296403,1162565,1655977,1600253,1170292,1933282,1398331,1484683,552823,665552,543133,821154,556425,495720,3382669,531371,620187,654811,610403,452085,435364,380984,1926077,534874,392156,377475,403426,435801,507026,3338453,352108,421971,817379,414982,391245,405663,412666,390487,95249,52582,63695,54526,159272,101153,39333,58798,79928,43474,685876,555746,595592,514307,527698,512419,535755,555603,582497,1767299,823685,684808,729716,668234,755976,920006,936751,695329,689443,644703,266770,243483,365625,288331,394277,216991,325867,424285,289352,266354,12206,25930,6686,7559,21232,13110,12842,12937,6721,9604
2016-02-28,2266560,1489436,1496736,1870554,1756751,1896633,1362941,1687012,1487132,1473822,669623,835215,680604,935952,650757,630903,3875763,707261,643642,720944,669546,432828,479278,463698,2002461,609758,497253,408521,430745,491635,599716,3789890,590696,733403,1081817,583777,490528,587113,626270,934215,105656,52235,67851,60526,188019,103397,44047,56559,78121,39149,868991,597058,763064,595858,544583,573066,616944,616883,538183,2220913,709680,772950,792720,683379,732998,961515,1049755,697598,793596,712253,296811,291341,363076,317791,380966,238314,393824,445341,324797,307161,12756,21481,9195,8679,18819,16995,16409,15018,8590,18130
2016-02-29,2066197,1664140,2348779,1542547,2342408,3945063,2328147,1524076,2249241,1627680,961722,1505052,1188252,1267645,757708,958479,3958572,1470040,986207,879153,746941,448357,480077,673957,2035023,598645,569744,338918,387562,469326,604558,3937462,496631,524243,1237920,733895,496821,723726,813402,913805,98668,52969,65998,58615,198988,113639,45358,51245,81081,95464,1230110,636577,653752,733688,561090,627081,601130,651492,659471,1956485,803688,716984,642065,664325,670535,834460,1012814,657930,736751,616848,364655,325249,431377,300790,494369,275509,383373,654425,320284,323561,20117,29344,9943,10666,35576,19852,18267,19408,12822,14540
2016-03-01,1841426,1511262,1560737,1282123,1878473,2291190,1435459,1524112,1506733,1555248,940190,1133784,884874,1243991,818497,834829,4119561,1116155,890544,1003165,690619,431999,435005,402804,1955445,596359,464098,325764,375283,485589,428874,3721698,428298,402913,1082739,514695,414221,528864,499041,514501,88334,55823,67975,78350,221654,119573,52136,60327,82032,50594,603923,720289,610633,491402,498057,502435,544544,577980,591899,1794576,701133,679326,554647,599449,766236,679036,872868,569501,649795,613694,264345,254049,277352,234340,374381,210966,273529,399654,249988,283674,22167,27033,8582,9800,25229,16417,15979,16647,10958,12789
2016-03-02,1949456,1612533,1715931,1253755,1460680,1918999,1405147,1685798,1415337,1368444,964678,1151488,891465,1220130,860005,796997,4476579,866793,855989,952489,684123,418230,523308,400828,1999024,621977,467389,341952,379041,531643,426974,3752363,419064,397896,1105675,589438,522942,476055,468063,467566,83160,55616,64544,87254,279375,120268,49822,57705,68784,45348,584849,672163,575266,484304,517235,483355,489159,547900,532081,1994568,668801,578495,600641,610940,660887,716612,865125,1409864,602753,645836,238700,253534,273665,234614,362416,209622,258759,354370,251704,242987,16226,26650,8256,9619,20168,15757,16078,16836,8541,13257
2016-03-03,1734595,1696243,1502208,1197728,1414788,1684980,1463862,1688516,1439369,1329143,936956,1042004,875639,1193142,813975,749726,4587649,792548,833071,901733,603520,373011,421888,383464,1978898,640547,376153,324121,349808,386565,403149,4036126,423902,361412,1014379,528388,653095,489179,477419,463497,91312,54991,63858,74552,293539,118354,45853,57790,67371,38517,528362,660305,574682,470890,496740,478074,504156,585817,518035,1978029,606205,762919,632935,571448,749624,681193,870762,612296,672104,570328,225000,222256,262122,239649,344723,192504,245010,369176,295421,211510,16393,25704,9300,9901,16540,15996,16545,19690,8466,13164
2016-03-04,1805537,1606455,1525569,1262612,1378680,1777871,1330033,2024263,1453754,1487171,842336,848161,737400,1058934,675689,638766,4711499,644181,990810,768275,628119,337946,381499,350851,2005771,618604,344958,316425,356524,403732,449667,3676616,386380,380270,912642,484183,473462,454384,397707,404793,90546,57178,65613,70527,281619,117205,48440,57044,69201,38251,475746,557918,532420,467215,507176,489030,474594,622751,497060,1862053,676727,676724,622980,855976,602179,763501,1137291,722578,1103024,744776,230586,213494,354561,255033,343165,228718,271737,401214,256373,183207,16856,24558,8803,9586,17073,15938,15637,16974,8319,13329
2016-03-05,1823916,1623512,1444560,1246526,1352857,1844542,1262194,1748420,1508256,1970590,724265,873445,623298,836394,572983,510118,4905342,537968,582889,687735,579878,390843,418658,368474,1942049,545299,367059,346768,357248,394789,416088,3418488,395191,396644,847632,447380,396391,465672,424841,401384,103755,53998,67232,65699,265482,108566,43855,57753,71242,37594,544955,594215,676284,493908,480002,953847,512883,865223,503199,2173926,731991,763735,686886,777804,756245,802277,1287070,717020,822638,682327,260954,239182,410143,287824,366203,238414,299624,441023,268262,240881,14224,29030,9088,9174,27080,16400,15895,14426,10098,12782
2016-03-06,2484606,2020552,1916117,1313364,1781608,3198226,1489780,1843225,1646013,2532355,868825,888818,757233,924853,722323,645061,4750571,653499,704153,789850,648978,403813,485819,468964,2114153,605988,524953,398297,432397,457536,645435,3707466,578011,482929,1241027,576525,487650,619197,630763,537787,101848,60650,64152,64479,213268,116495,47595,67605,73757,44103,528377,603944,629223,546547,607767,619932,516852,677201,625509,2115855,806555,817486,836327,911923,743123,1053700,1137095,906140,887554,719242,279869,276291,354855,298023,391533,257035,316043,474944,282345,217910,13402,26106,9624,8639,18839,18848,14560,17469,9893,11676
2016-03-07,1882286,2075981,1683052,1251129,1536043,2695208,1433658,1968863,1722824,2890535,940605,1295117,845105,1139801,806741,736530,4832379,755674,800300,872896,719022,356615,698460,351058,2019864,589167,415398,375987,388529,393581,604851,3721038,431128,452907,1130394,636179,472262,535125,487255,441085,93051,59859,70677,68928,289798,125491,45326,66315,70793,39823,610879,654966,590967,587672,708742,643752,542614,651116,569601,2170562,763354,631105,689747,829587,685648,841583,1143789,699654,745692,665786,232666,243703,288322,252687,362258,208741,274920,361321,249002,211545,17760,27010,9018,9563,16700,16458,15319,16869,8240,12079
2016-03-08,1699256,1759675,1431311,1173597,1312345,1840267,1243857,1984224,2168112,1463735,1000662,1709326,923989,1226897,820773,823820,4300446,776257,847666,893831,635247,351373,406225,349717,1973182,602343,371056,454336,435470,357680,462689,3740765,525881,420848,1041181,456807,413908,718180,420169,408222,104552,52876,85442,63469,300727,121329,42518,51367,69703,39430,615123,647111,676862,641821,856998,722852,597388,791673,584482,1755724,753910,750041,700459,612669,656862,745466,1077697,663871,886178,759076,232024,231340,283370,241109,355417,198625,252685,337081,235131,257324,20924,29301,9336,10434,28558,17550,16650,18254,10051,12430
2016-03-09,2073926,1801477,1522336,1237325,1228431,1705394,1206908,2031598,1417235,2285759,1028309,1152015,965874,1391369,923379,843684,4276990,755000,835265,904069,851514,521254,513947,354483,1988984,799947,382765,350364,413204,366082,405678,3549604,405432,432475,1062669,437230,387382,470651,506324,401787,97275,54896,65619,66979,248101,118213,41220,53692,63642,38244,664426,509864,911573,532700,612486,602617,590476,714723,719936,1793543,719337,749810,704028,634459,701129,805928,932906,879975,830455,759884,256159,251786,307463,242069,369129,194428,300507,368272,245501,217407,17323,28687,8212,9144,26868,15929,16515,16477,9474,11687
2016-03-10,1892167,1559439,1365111,1279663,1157110,1607035,1217413,2001230,1414158,1488051,966468,994858,823586,1149708,778214,793056,4117274,687187,828399,838677,575301,377325,398294,355250,1891274,575421,447030,307717,369381,332073,398050,3514835,410831,399559,975380,419709,370441,479514,444878,400434,103269,47741,56658,66062,200849,114825,42114,48340,48477,38830,541287,507466,634895,540009,588218,558083,519968,704175,650379,1925171,595018,659216,631458,624577,677697,751994,887610,624631,699546,625060,259104,234009,308694,247108,330436,184803,319035,404103,250510,203625,15089,28832,7632,8764,16609,14606,14582,16556,7359,12640
2016-03-11,1860753,1655630,1299415,1158437,1244353,1816593,1421239,1927775,1251049,1289222,871232,823665,643600,932358,673971,653663,3720961,574913,1025524,716571,583926,339614,376545,314838,1908810,561977,379985,321699,324727,362353,403110,3544043,558571,414114,867587,475474,393386,520283,505711,371021,122717,45296,56869,69658,175031,109178,42173,46227,50231,37367,570939,507274,585075,484207,534694,522019,508559,678004,534562,2184265,865261,729413,600644,669920,663159,677145,1260201,570342,722652,581675,268518,265494,308472,252664,332018,196054,289787,452285,277504,251906,13792,26584,7332,8476,15071,14492,13854,15774,6542,14234
2016-03-12,1822184,1606401,1270098,1105398,1200489,1650966,1305392,1851547,1253183,1362099,662954,662140,526980,763824,559089,493456,3668473,486356,571454,615135,525363,343133,372394,302456,1899597,480378,384624,301397,315360,364842,500730,3373669,432003,404117,764143,418731,371034,594950,488211,378170,85831,42706,50035,55898,234584,98559,39460,45280,37724,34639,572487,528525,577355,485835,553580,556035,535772,677621,541862,1818860,715231,702721,646111,679328,779029,815998,1070985,667936,806226,686505,312316,296539,360861,286712,361230,215247,320194,469371,298425,304541,12157,26428,5960,6716,13753,10812,11525,14048,6892,13353
2016-03-13,2482394,1678321,1450269,1251605,1275153,1670278,1377460,2013183,1419346,1578154,838841,790939,722629,898557,734079,621725,3820100,601250,729809,727475,737634,434723,432988,378426,1996587,570088,426784,351507,407081,407858,703142,3682841,531296,555592,901986,502519,461543,536904,800756,498963,85382,43379,51248,59671,143064,101035,39723,48937,39476,35472,608391,735927,628174,611698,575560,816567,545376,700705,614251,1825081,842090,788228,836205,789447,772802,996695,986741,722721,911636,779687,319277,296890,357654,308425,394688,230886,312510,454393,301535,244065,11310,28716,8271,7908,14459,13930,14403,14831,6544,17439
2016-03-14,2365476,1828384,1446139,1242273,1219308,1866386,1318306,1941911,1560136,1384505,933645,928025,793918,1110899,797403,747750,4177135,755407,859163,844070,693841,391148,424622,367914,2010614,633682,404794,349362,354382,396138,704577,3819862,483988,492779,1018264,509464,401828,469621,866101,414458,84044,49220,55281,56703,210346,116436,68017,46833,42791,32996,540212,595612,675353,586933,518966,532927,551999,642728,580177,1895345,722171,659196,742751,693982,755628,754203,945925,639095,880358,720516,256218,232684,310601,272111,335049,214199,272204,383444,280793,256581,15742,29456,7346,8922,15912,14610,15332,15054,6869,10613
2016-03-15,1931999,1566204,1391817,1187260,1248753,1621133,1226787,1924509,1396235,1371406,1009324,1010137,901212,1188611,831360,780841,4179092,797569,882917,887752,606922,485372,390452,363230,1917210,542087,634061,366049,403468,353643,484731,3660809,501513,406743,1004601,448954,398343,488884,520222,428444,93074,46317,57676,53980,199813,114613,51499,46245,38066,32687,498182,725696,624258,558369,479885,493413,542861,631853,545508,2158136,793446,730610,992309,614115,799920,676847,880139,589618,758201,711859,248509,220965,341735,292116,332860,216500,269128,374314,262547,239167,15557,26594,7638,8862,16227,14950,15667,16399,7173,13079
2016-03-16,1893281,1658171,1721474,1268888,1298282,1562844,1392850,1965733,1395219,1358987,1323151,966942,855595,1156332,863566,760259,4466745,777618,858600,924638,604061,482778,408360,348942,1966677,551501,647909,396993,418781,376373,459978,3602118,462807,445826,952617,465914,407868,731227,486383,472232,94568,45023,57507,51509,184309,113579,41716,46079,38562,30774,524028,683942,580723,601394,488614,585532,580850,771661,561193,1998771,740087,591507,1339565,555769,778077,720942,894465,579540,682872,679037,228346,217418,295794,272814,333288,204913,270736,370967,247866,264387,15080,27917,7356,8478,15029,13516,14949,28689,6332,11550
2016-03-17,1939935,1584152,1394593,1155262,1496531,1385058,1537708,1823165,1260018,1536214,971852,862959,774349,1059867,738847,809858,4055777,700287,770704,1056366,617622,379780,359986,336968,1904684,521136,315555,481881,461254,341083,378592,3532913,402170,332262,889702,405322,365800,418145,390192,640268,89695,46009,59803,53122,179539,120214,46096,47469,37000,31174,495707,659257,579547,600222,478726,569820,564910,1017670,542362,1826849,729302,574949,1055116,625493,744524,759921,838424,644171,1000370,667609,231448,201672,299369,286074,344734,184994,256749,402585,240921,209175,16275,26578,7720,9171,17878,15662,17647,15183,7885,12748
2016-03-18,1672264,1481127,1350746,1220875,1175624,1330518,1231258,1384239,1301036,1279960,765247,709516,634682,838574,593703,617040,3888582,547032,619000,813950,713254,378385,366518,300195,1865440,546620,328981,327863,342956,300940,355099,3552850,591024,358380,811285,894998,687557,485875,449734,437065,93507,45804,51945,53006,182054,106176,41557,46094,36971,32729,585092,628887,575572,535131,499778,523744,536905,702685,516277,1751019,1008349,617492,845433,650901,715426,735355,920826,585289,802831,1026313,230227,200020,349479,290664,325984,200147,301807,415289,241691,240360,13304,25907,6872,8161,16294,14531,13881,14163,6391,14138
